id	model	claim	suffix	text	annotator 1	annotator 2	annotator 3	annotator 4
74	original model	В случае высокой инфляции нужно вкладываться в драгоценные металлы	потому что	золото в России будет расти в цене.	1	1	1	1
94	original model	В случае высокой инфляции нужно вкладываться в драгоценные металлы	потому что	это «дорогие» металлы.	0	0	0	0
168	fine-tuned model	В случае высокой инфляции нужно вкладываться в драгоценные металлы	потому что	при их падении, если они остаются дешевыми, инвесторы могут покупать ценные бумаги и получать выгоду.	0	0	0	0
185	fine-tuned model	В случае высокой инфляции нужно вкладываться в драгоценные металлы	потому что	это поможет снизить инфляцию и снизить ее давление», — сказал он.	1	1	1	0
197	fine-tuned model	В случае высокой инфляции нужно вкладываться в драгоценные металлы	потому что	так можно снизить издержки», — комментирует эксперт.	0	1	0	0
201	fine-tuned model	В случае высокой инфляции нужно вкладываться в драгоценные металлы	потому что	рост стоимости драгметалла несет риск.	0	0	0	0
216	original model	В случае высокой инфляции нужно вкладываться в драгоценные металлы	потому что	цены на них могут расти.	1	1	1	0
222	fine-tuned model	В случае высокой инфляции нужно вкладываться в драгоценные металлы	потому что	они имеют долгосрочную стоимость, заявил глава ЦБ РФ.	1	0	1	1
245	original model	В случае высокой инфляции нужно вкладываться в драгоценные металлы	потому что	только через них можно обеспечить рост экономики и уровень жизни.	0	0	0	0
259	fine-tuned model	В случае высокой инфляции нужно вкладываться в драгоценные металлы	потому что	они быстро растут в цене», — рассуждает эксперт.	1	1	1	1
273	original model	В случае высокой инфляции нужно вкладываться в драгоценные металлы	потому что	если цены на золото упадут ниже 10 долларов, то для поддержания рубля потребуется еще несколько лет».	0	0	0	0
284	original model	В случае высокой инфляции нужно вкладываться в драгоценные металлы	потому что	они, в первую очередь, обеспечат поступление в казну дополнительных денег, которые позволят покрыть все эти издержки и при необходимости компенсировать расходы.	0	1	0	0
317	original model	В случае высокой инфляции нужно вкладываться в драгоценные металлы	потому что	у людей в руках окажется дешевая валюта, и они будут иметь доступ к золоту в больших объемах».	0	0	0	0
343	fine-tuned model	В случае высокой инфляции нужно вкладываться в драгоценные металлы	потому что	их можно хранить долго, и у них высокая степень защиты», — пояснил эксперт.	1	1	1	1
368	fine-tuned model	В случае высокой инфляции нужно вкладываться в драгоценные металлы	потому что	металл не несет в себе риск по долговой нагрузке.	1	1	1	1
388	original model	В случае высокой инфляции нужно вкладываться в драгоценные металлы	потому что	именно они обеспечивают стабильность нашей экономики.	0	0	0	0
444	fine-tuned model	В случае высокой инфляции нужно вкладываться в драгоценные металлы	потому что	это один из наиболее устойчивых видов вложений.	1	1	1	1
446	fine-tuned model	В случае высокой инфляции нужно вкладываться в драгоценные металлы	потому что	на фоне этих факторов их дешевизна будет высокой и в среднесрочной перспективе станет самой низкой.	0	0	0	0
455	original model	В случае высокой инфляции нужно вкладываться в драгоценные металлы	потому что	сейчас их дешевизна.	0	0	0	0
512	original model	В случае высокой инфляции нужно вкладываться в драгоценные металлы	потому что	если вы их продадите, то цены упадут, вы просто разоритесь.	0	0	0	0
569	original model	В случае высокой инфляции нужно вкладываться в драгоценные металлы	потому что	в нашей стране это всегда инвестиционная стратегия.	1	0	0	0
593	fine-tuned model	В случае высокой инфляции нужно вкладываться в драгоценные металлы	потому что	это всегда будет расти их стоимость.	1	1	1	1
674	original model	В случае высокой инфляции нужно вкладываться в драгоценные металлы	потому что	эти металлы очень нестабильны.	0	0	0	0
696	fine-tuned model	В случае высокой инфляции нужно вкладываться в драгоценные металлы	потому что	они всегда будут в цене, независимо от ситуации на валютном рынке, подчеркнул в ходе выступления на сессии Совета безопасности РФ министр финансов Антон Силуанов.	1	1	1	1
717	fine-tuned model	В случае высокой инфляции нужно вкладываться в драгоценные металлы	потому что	так и быстрее, и надежнее, и надежнее», — говорит она.	0	0	0	0
782	original model	В случае высокой инфляции нужно вкладываться в драгоценные металлы	потому что	они дают высокую доходность, а инвестиции во время кризиса можно делать только в те проекты, которые принесут деньги.	1	0	1	1
783	fine-tuned model	В случае высокой инфляции нужно вкладываться в драгоценные металлы	потому что	золото, как и серебро, является самым устойчивым на фондовом рынке, при этом оно может иметь высокий риск.	1	0	1	1
790	original model	В случае высокой инфляции нужно вкладываться в драгоценные металлы	потому что	все это стоит значительно дешевле, чем недвижимость.	1	1	1	0
792	original model	В случае высокой инфляции нужно вкладываться в драгоценные металлы	потому что	они помогут экономике восстанавливаться и расти.	0	1	0	0
28	original model	Вместо потребительского кредита лучше взять автокредит	потому что	если потребительский кредит будет брать не продавец, а банк, то продавец может не отдавать машину, и машину заберут третьи лица, что очень не выгодно.	0	0	0	0
47	fine-tuned model	Вместо потребительского кредита лучше взять автокредит	потому что	это позволит оформить льготный кредит на приобретение автомобиля на льготных условиях, — комментирует руководитель отдела продаж «СберБанка» Татьяна Романова.	1	1	1	1
55	fine-tuned model	Вместо потребительского кредита лучше взять автокредит	потому что	на практике он будет более дешевым.	1	1	1	1
99	fine-tuned model	Вместо потребительского кредита лучше взять автокредит	потому что	он, по словам экспертов, гораздо более быстрый и простой, чем потребительский.	1	1	1	1
120	fine-tuned model	Вместо потребительского кредита лучше взять автокредит	потому что	он меньше, если сравнивать с обычным потребительским займом.	0	0	0	1
141	original model	Вместо потребительского кредита лучше взять автокредит	потому что	он позволит быстро и удобно пополнять семейный бюджет, который постоянно «висит» на бюджете.	0	0	0	0
149	fine-tuned model	Вместо потребительского кредита лучше взять автокредит	потому что	у него есть несколько неоспоримых плюсов: он больше подходит тем, кто в основном хочет купить что-то новое, или если машина нужна только на время (на период ремонта).	1	1	1	1
171	fine-tuned model	Вместо потребительского кредита лучше взять автокредит	потому что	он является долгосрочным и доступен по более низкой цене.	1	1	1	1
190	original model	Вместо потребительского кредита лучше взять автокредит	потому что	он позволяет получить более выгодные условия.	1	0	0	0
225	fine-tuned model	Вместо потребительского кредита лучше взять автокредит	потому что	за счет пониженного коэффициента при автокредитах можно получить меньшие платежи и сэкономить на оформлении.	1	1	1	1
239	original model	Вместо потребительского кредита лучше взять автокредит	потому что	он выгоден с финансовой точки зрения и выгоден для банка.	1	1	1	1
241	original model	Вместо потребительского кредита лучше взять автокредит	потому что	у вас будет возможность самостоятельно управлять своим автомобилем без финансовых проблем.	0	0	0	0
281	fine-tuned model	Вместо потребительского кредита лучше взять автокредит	потому что	банк более внимательно относится к клиентам, чем к собственным депозитам.	0	0	0	0
292	fine-tuned model	Вместо потребительского кредита лучше взять автокредит	потому что	при наличии средств, у которого больше срок использования, банки более охотно идут на снижение процентной ставки.	1	1	1	1
294	fine-tuned model	Вместо потребительского кредита лучше взять автокредит	потому что	и его оформление занимает меньше времени, и сумма в 2—3 раза ниже при выдаче.	0	0	0	0
308	original model	Вместо потребительского кредита лучше взять автокредит	потому что	при грамотном расчете заемщик может получить существенную выгоду в случае погашения долга, а, следовательно, получить прибыль и при условии, что автосалон предоставляет на авто-кредит гарантию.	0	0	0	0
311	fine-tuned model	Вместо потребительского кредита лучше взять автокредит	потому что	он дает больше возможностей.	0	0	0	0
374	original model	Вместо потребительского кредита лучше взять автокредит	потому что	в нашем случае это всегда экономически целесообразно.	1	0	0	0
381	fine-tuned model	Вместо потребительского кредита лучше взять автокредит	потому что	он по срокам кредитования не будет отличаться от потребительского, пояснил эксперт.	0	0	1	0
421	original model	Вместо потребительского кредита лучше взять автокредит	потому что	он оформляется на короткий срок.	0	1	0	0
425	original model	Вместо потребительского кредита лучше взять автокредит	потому что	при этом Вы сможете:	0	0	0	0
438	original model	Вместо потребительского кредита лучше взять автокредит	потому что	он выдается в любом банке.	0	0	0	0
462	fine-tuned model	Вместо потребительского кредита лучше взять автокредит	потому что	там можно получить рассрочку, что тоже очень важно в финансовом отношении.	1	0	1	1
476	original model	Вместо потребительского кредита лучше взять автокредит	потому что	он выдается без процентов и залог.	0	0	0	0
524	original model	Вместо потребительского кредита лучше взять автокредит	потому что	его можно использовать только под залог недвижимости, автомобиля, земли и других активов.	0	1	0	0
527	fine-tuned model	Вместо потребительского кредита лучше взять автокредит	потому что	это гораздо выгоднее, так как по потребительскому кредитованию риски составляют около 10% от суммы кредита, и это в 2,5 раза больше риска ипотечного кредита», — сказала она.	1	0	1	1
558	original model	Вместо потребительского кредита лучше взять автокредит	потому что	они на 20 % ниже в процентной ставке.	0	1	0	0
633	fine-tuned model	Вместо потребительского кредита лучше взять автокредит	потому что	в этом случае можно вернуть деньги, даже если вы досрочно погасите кредитную задолженность, добавил эксперт.	0	1	0	0
648	original model	Вместо потребительского кредита лучше взять автокредит	потому что	: 1. кредитная история заемщика - не играет роли, потому что банки кредитуют только состоятельных клиентов, поэтому вероятность возникновения просрочек и других проблем при погашении кредита будет сведена к минимуму.	0	0	0	0
657	fine-tuned model	Вместо потребительского кредита лучше взять автокредит	потому что	он более выгоден для заемщиков, считают эксперты.	1	1	1	0
700	original model	Вместо потребительского кредита лучше взять автокредит	потому что	он будет выдаваться на больший срок и по более выгодным ставкам.	1	1	1	1
712	original model	Вместо потребительского кредита лучше взять автокредит	потому что	при отказе, банк может потребовать возмещения ущерба.	0	0	0	0
758	original model	Вместо потребительского кредита лучше взять автокредит	потому что	процентная ставка ниже.	1	1	1	1
775	fine-tuned model	Вместо потребительского кредита лучше взять автокредит	потому что	у таких заемщиков есть ряд дополнительных преимуществ, в том числе и возможность досрочного погашения кредита», — комментирует глава экспертно-консультативного совета банка «Фридом Финанс» Дмитрий Шляхтин.	1	1	1	1
60	fine-tuned model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	они не имеют проблем ликвидности и могут использоваться для финансирования различных проектов.	1	0	1	1
61	fine-tuned model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	у них есть большая продолжительность жизни, высокий уровень ликвидности, низкое значение процентной ставки.	1	1	1	1
72	fine-tuned model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	обеспечением по ним выступает собственность государства.	1	1	1	0
73	fine-tuned model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	по ним не может быть никаких отрицательных процентных ставок.	1	1	1	1
89	original model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	могут быть быстро и удобно куплены, при этом они могут быть использованы по целевому назначению в любой момент.	1	1	1	1
92	fine-tuned model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	за ними стоит надежная репутация.	1	1	1	0
174	fine-tuned model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	по ним гарантируется защита от возможных экономических и политических рисков», — говорит она.	1	1	1	1
178	original model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	у государства не всегда достаточно средств для размещения госбумаг.	0	0	0	0
204	fine-tuned model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	при этом есть еще одно обстоятельство: в силу наличия высокого уровня инфляции и возможности ее обесценивания доходность по этим бумагам должна быть низкой, что в долгосрочной перспективе приведет к тому, что эмиссия будет осуществляться в ограниченном объеме.	0	0	0	0
255	original model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	они обеспечены государственной гарантией, которая включает в себя государственный долг.	1	1	1	1
257	fine-tuned model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	при их размещении обеспечены стабильность, управляемость и достоверность.	1	1	1	1
262	original model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	они обеспечивают долгосрочное финансирование, позволяя компании получать доход, на который может рассчитывать любое предприятие.	1	1	1	0
270	fine-tuned model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	на практике имеют высокую ликвидность.	1	1	1	1
272	original model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	не имеют ограничений по срокам погашения.	1	0	0	0
286	original model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	при этом гарантируется возможность их надежного обращения, а также стабильность процентных ставок.	1	1	1	1
305	original model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	при их размещении соблюдаются основные условия, установленные на банковском рынке.	0	1	0	0
309	original model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	они могут выпускаться на неограниченное время, и они защищены законом.	1	1	1	1
313	original model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	в случае нарушения держателем, который выпустит их, своих обязательств, то у них есть срок погашения и они обеспечены залогом.	1	1	1	0
326	original model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	они гарантированы государством.	1	1	1	1
437	fine-tuned model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	они защищены от рисков и имеют высокую ликвидность.	1	1	1	1
490	original model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	они гарантируют высокую доходность, высокую ликвидность и ликвидность облигации, что означает возможность быстро получить прибыль и при необходимости возвратить долг.	1	0	1	1
518	fine-tuned model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	гарантируют защиту имущества компании, в том числе от обесценения.	0	0	1	0
521	original model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	при их размещении государство гарантирует надежность исполнения.	1	1	1	1
540	fine-tuned model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	они не подвержены обесценению, не утрачивают своей ликвидности, их стоимость остается стабильной».	1	1	1	1
549	original model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	правительство обязано их выпускать.	0	0	0	0
610	fine-tuned model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	их надежность обеспечена благодаря высокой ликвидности.	1	1	1	1
619	fine-tuned model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	в случае их утраты, например при банкротстве эмитента, или их полного обесценения они являются объектом залога при кредитовании, поэтому при их реализации проблем с ликвидностью не возникает, подчеркнул Шалимов.	1	1	1	0
624	fine-tuned model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	они могут иметь срок погашения более 30 лет и при этом оставаться на рынке очень долго.	1	1	1	1
625	fine-tuned model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	их нельзя просто так обесценить, даже если они не были официально введены в обращение.	1	1	1	0
651	original model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	гарантируется их государством.	1	1	1	1
663	original model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	они дают возможность защитить и увеличить стоимость своей недвижимости, а также привлечь инвестиции для получения прибыли.	0	0	0	0
708	fine-tuned model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	у них очень высокая ликвидность», — пояснил руководитель департамента инвестиционной деятельности УК «Райффайзен-Инвест» Дмитрий Волков.	1	1	1	1
777	original model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	срок их погашения значительно превышает срок погашения государственных ценных бумаг и может составлять 50 лет.	0	0	1	0
788	original model	Государственные облигации являются одним из наиболее надежных видов ценных бумаг	потому что	государство выпускает их в неограниченном количестве, да и доходность по ним довольно высока.	1	1	1	1
13	original model	Деньги нужно вкладывать в акции	потому что	цены на них могут расти.	1	1	1	1
26	fine-tuned model	Деньги нужно вкладывать в акции	потому что	в ситуации, когда они теряют свой «плюс» после начала торговли или имеют низкий рост цены, они являются рискованным вложением», — отметила эксперт.	0	0	0	0
